,STATE/UT,RAPE,KIDNAPPING,DOWRY,ASSAULT,INSULT,CRUELTY,TRAFFECKING
413,A&N ISLANDS,12,7,2,17,4,5,0
414,CHANDIGARH,27,66,5,45,25,73,0
415,D&N HAVELI,3,9,0,2,0,0,0
416,DAMAN & DIU,5,0,0,0,0,3,0
417,DELHI,706,2160,134,727,208,1985,0
418,LAKSHADWEEP,0,0,0,1,0,1,0
419,PUDUCHERRY,13,16,0,9,2,6,0
420,ANDHRA PRADESH,1635,1595,492,6930,4702,15084,0
421,ARUNACHAL PRADESH,75,86,0,93,3,29,0
422,ASSAM,1937,4222,170,2409,14,8636,2
423,BIHAR,1128,4419,1182,331,52,4533,7
424,CHHATTISGARH,1380,1881,109,2261,180,1181,1
425,GOA,86,70,0,162,54,40,0
426,GUJARAT,732,2230,29,1243,77,7812,0
427,HARYANA,971,1957,263,1560,643,3617,2
428,HIMACHAL PRADESH,250,290,0,493,111,328,0
429,JAMMU & KASHMIR,378,949,7,1389,354,428,0
430,JHARKHAND,1204,926,307,524,18,2084,2
431,KARNATAKA,1030,1359,277,3913,137,3276,0
432,KERALA,1221,185,21,4362,404,4820,0
433,MADHYA PRADESH,4335,2873,776,8252,736,4988,7
434,MAHARASHTRA,3063,1874,320,8132,2632,8542,0
435,MANIPUR,72,125,0,59,0,29,0
436,MEGHALAYA,183,33,2,98,0,23,0
437,MIZORAM,89,2,0,81,0,5,0
438,NAGALAND,31,11,1,18,1,4,0
439,ODISHA,1832,2067,395,4618,426,2792,0
440,PUNJAB,888,987,126,1045,67,1741,0
441,RAJASTHAN,3285,4047,453,4829,25,15094,1
442,SIKKIM,43,16,0,29,0,5,0
443,TAMIL NADU,923,1516,118,1271,313,2471,0
444,TRIPURA,233,124,29,407,7,827,0
445,UTTAR PRADESH,3050,9737,2335,7303,25,8781,0
446,UTTARAKHAND,228,633,43,295,72,435,0
447,WEST BENGAL,1685,3830,481,4913,577,18116,9
448,A&N ISLANDS,27,12,1,45,8,9,0
449,CHANDIGARH,45,174,1,143,26,92,0
450,D&N HAVELI,5,11,0,1,1,1,0
451,DAMAN & DIU,8,6,0,2,0,2,0
452,DELHI,1636,3609,144,3515,916,3033,0
453,LAKSHADWEEP,2,0,0,1,0,0,0
454,PUDUCHERRY,17,25,1,12,8,8,0
455,ANDHRA PRADESH,961,721,215,4547,2649,6362,0
456,ARUNACHAL PRADESH,83,91,1,121,3,42,0
457,ASSAM,1980,3895,188,3099,1,9626,1
458,BIHAR,1127,4735,1373,572,69,4672,5
459,CHHATTISGARH,1436,1393,128,2122,79,964,0
460,GOA,95,86,0,202,57,35,0
461,GUJARAT,841,2187,23,1352,173,5991,0
462,HARYANA,1174,1922,293,1688,102,3478,0
463,HIMACHAL PRADESH,283,227,1,538,60,325,0
464,JAMMU & KASHMIR,331,813,5,1421,237,467,0
465,JHARKHAND,1050,885,350,440,18,1462,2
466,KARNATAKA,1324,1457,313,5263,170,3025,0
467,KERALA,1347,143,28,4367,257,4919,0
468,MADHYA PRADESH,5076,5688,733,9609,429,6451,0
469,MAHARASHTRA,3438,2457,279,10001,1575,7696,1
470,MANIPUR,75,121,1,98,0,41,0
471,MEGHALAYA,118,38,1,105,54,42,0
472,MIZORAM,120,3,0,97,29,8,0
473,NAGALAND,30,13,0,16,1,3,0
474,ODISHA,1978,2436,441,5543,379,3114,0
475,PUNJAB,981,1176,90,1113,35,1681,0
476,RAJASTHAN,3759,4421,408,5999,18,15905,0
477,SIKKIM,47,12,0,34,3,5,0
478,TAMIL NADU,455,1502,95,1102,229,2103,0
479,TELANGANA,979,711,289,3188,1142,6369,0
480,TRIPURA,239,102,33,492,11,702,0
481,UTTAR PRADESH,3467,10626,2469,8605,29,10471,0
482,UTTARAKHAND,270,275,38,343,4,301,0
483,WEST BENGAL,1466,4976,501,5670,543,23278,4
484,A&N ISLANDS,32,17,3,41,5,14,0
485,CHANDIGARH,59,133,2,87,2,141,0
486,D&N HAVELI,5,7,0,2,1,6,0
487,DAMAN & DIU,2,1,0,3,0,1,0
488,DELHI,2096,4034,153,4322,1361,3173,0
489,LAKSHADWEEP,1,0,0,1,2,0,0
490,PUDUCHERRY,10,7,1,32,8,4,0
